iter	Passed	Remaining
697	350372	151593
698	350857	151084
699	351314	150563
700	351798	150053
701	352316	149558
702	352783	149042
703	353291	148542
704	353816	148050
705	354313	147547
706	354742	147014
707	355298	146535
708	355697	145991
709	356150	145469
710	356647	144966
711	357095	144443
712	357515	143908
713	358054	143422
714	358591	142935
715	359094	142434
716	359555	141916
717	360016	141399
718	360455	140873
719	360938	140365
720	361395	139846
721	361863	139332
722	362421	138852
723	362913	138348
724	363467	137867
725	363895	137338
726	364423	136846
727	364986	136368
728	365499	135871
729	366015	135375
730	366516	134873
731	367092	134399
732	367569	133889
733	368080	133391
734	368610	132900
735	369129	132405
736	369571	131882
737	370096	131389
738	370558	130873
739	371105	130388
740	371581	129877
741	372143	129397
742	372631	128891
743	373056	128363
744	373513	127846
745	374039	127354
746	374580	126865
747	375132	126381
748	375605	125870
749	376095	125365
750	376642	124878
751	377155	124381
752	377572	123851
753	378071	123349
754	378569	122846
755	379045	122337
756	379610	121856
757	380098	121350
758	380647	120864
759	381149	120362
760	381631	119855
761	382128	119352
762	382590	118838
763	383093	118337
764	383564	117826
765	384073	117327
766	384545	116817
767	385005	116303
768	385463	115789
769	386055	115315
770	386549	114811
771	387089	114321
772	387580	113817
773	388118	113326
774	388602	112820
775	389158	112334
776	389665	111834
777	390079	111307
778	390571	110803
779	391173	110330
780	391687	109833
781	392187	109330
782	392668	108823
783	393171	108322
784	393664	107819
785	394140	107310
786	394643	106809
787	395167	106314
788	395605	105795
789	396056	105280
790	396622	104796
791	397137	104298
792	397739	103823
793	398200	103311
794	398666	102800
795	399096	102280
796	399557	101769
797	400095	101277
798	400569	100769
799	401017	100254
800	401456	99737
801	401951	99234
802	402408	98722
803	402918	98223
804	403440	97727
805	403940	97226
806	404348	96702
807	404844	96200
808	405338	95698
809	405728	95170
810	406207	94664
811	406686	94158
812	407186	93657
813	407645	93147
814	408167	92651
815	408578	92130
816	409081	91630
817	409575	91127
818	410102	90633
819	410541	90118
820	411039	89617
821	411516	89111
822	412028	88613
823	412586	88125
824	413146	87637
825	413555	87116
826	414101	86625
827	414512	86106
828	414958	85594
829	415450	85092
830	415886	84578
831	416347	84070
832	416812	83562
833	417369	83073
834	417843	82567
835	418311	82061
836	418724	81543
837	419286	81055
838	419800	80557
839	420225	80042
840	420709	79539
841	421227	79042
842	421666	78530
843	422188	78034
844	422660	77529
845	423254	77046
846	423805	76555
847	424273	76049
848	424776	75549
849	425215	75037
850	425628	74522
851	426110	74019
852	426535	73506
853	427054	73009
854	427539	72506
855	428004	72000
856	428424	71487
857	428950	70991
858	429450	70491
859	429936	69989
860	430454	69492
861	431028	69004
862	431544	68507
863	432003	68000
864	432542	67506
865	433015	67002
866	433449	66492
867	434026	66004
868	434510	65501
869	434978	64996
870	435444	64491
871	435934	63990
872	436440	63491
873	437027	63003
874	437614	62516
875	438162	62022
876	438591	61512
877	439154	61021
878	439614	60515
879	440061	60008
880	440548	59506
881	441104	59013
882	441577	58510
883	442068	58009
884	442603	57513
885	443101	57013
886	443597	56512
887	444135	56017
888	444593	55511
889	445114	55014
890	445571	54508
891	446113	54013
892	446583	53510
893	447025	53003
894	447486	52498
895	447903	51988
896	448391	51487
897	448907	50989
898	449345	50482
899	449814	49979
900	450300	49478
901	450967	48996
902	451630	48513
903	452137	48014
904	452692	47520
905	453212	47022
906	453696	46520
907	454285	46028
908	454818	45531
909	455299	45029
910	455843	44533
911	456336	44032
912	456921	43540
913	457413	43038
914	457945	42541
915	458338	42031
916	458879	41534
917	459274	41024
918	459852	40531
919	460492	40042
920	461045	39546
921	461542	39045
922	462041	38545
923	462505	38041
924	462925	37534
925	463454	37036
926	464057	36543
927	464557	36043
928	465072	35543
929	465643	35048
930	466086	34543
931	466588	34042
932	467067	33540
933	467532	33037
934	468026	32536
935	468519	32035
936	469027	31535
937	469528	31034
938	469937	30528
939	470467	30029
940	470943	29527
941	471451	29027
942	472009	28530
943	472512	28030
944	472973	27527
945	473401	27022
946	473893	26522
947	474376	26020
948	474813	25516
949	475285	25015
950	475667	24508
951	476166	24008
952	476663	23508
953	477197	23009
954	477731	22510
955	478244	22011
956	478700	21509
957	479203	21008
958	479749	20510
959	480221	20009
960	480724	19509
961	481179	19007
962	481644	18505
963	482101	18003
964	482573	17502
965	483111	17003
966	483586	16502
967	484107	16003
968	484603	15503
969	485084	15002
970	485595	14502
971	486150	14004
972	486630	13503
973	487110	13002
974	487612	12502
975	488086	12002
976	488631	11503
977	489120	11002
978	489621	10502
979	490104	10002
980	490647	9502
981	491095	9001
982	491599	8501
983	492031	8000
984	492558	7500
985	493008	7000
986	493490	6499
987	494025	6000
988	494485	5499
989	494983	4999
990	495483	4499
991	495933	3999
992	496437	3499
993	497029	3000
994	497473	2499
995	497967	1999
996	498540	1500
997	499075	1000
998	499537	500
999	500127	0
