iter	MultiClass
195	0.1906760575
196	0.1901851816
197	0.1896660637
198	0.189168626
199	0.1887256888
200	0.1882281747
201	0.1877589797
202	0.1872914825
203	0.1868074263
204	0.1863173739
205	0.1858265674
206	0.1853674235
207	0.1848570837
208	0.1844224398
209	0.1840048041
210	0.1835560517
211	0.1831228221
212	0.1826854117
213	0.1822119782
214	0.181771921
215	0.1813298265
216	0.1809068331
217	0.1805101667
218	0.1800633132
219	0.1796187134
220	0.1791731022
221	0.1787243001
222	0.1783155767
223	0.1778389196
224	0.1774233251
225	0.1770263826
226	0.1766067787
227	0.1762015465
228	0.1757887009
229	0.175395767
230	0.1750200497
231	0.1746131714
232	0.1742313224
233	0.1738326697
234	0.1734196293
235	0.1730558
236	0.1726375408
237	0.1722587131
238	0.1718440544
239	0.1714711897
240	0.1711319137
241	0.170762582
242	0.1703921399
243	0.1700446277
244	0.1696986273
245	0.1693468839
246	0.1689759726
247	0.1686368139
248	0.168292617
249	0.167896239
250	0.1675185789
251	0.1671571931
252	0.1667956518
253	0.1664608276
254	0.1661393564
255	0.1657879488
256	0.1654624985
257	0.1651453971
258	0.1647928696
259	0.1644780084
260	0.1641675832
261	0.1638488
262	0.1635186909
263	0.1631901564
264	0.1628605675
265	0.1625340057
266	0.162216321
267	0.1618619529
268	0.1615302833
269	0.1612252258
270	0.160930587
271	0.160619589
272	0.1603153151
273	0.1600150303
274	0.1597310109
275	0.159393318
276	0.1590884875
277	0.1587921018
278	0.1584893809
279	0.1582058736
280	0.1579154208
281	0.1576203056
282	0.1573094387
283	0.1570099161
284	0.1567026729
285	0.1564071636
286	0.1561548422
287	0.1558597674
288	0.1555701494
289	0.155300701
290	0.1550197381
291	0.1547612925
292	0.1544957224
293	0.1542174548
294	0.1539521012
295	0.1536529864
296	0.153418913
297	0.1531306654
298	0.1528655993
299	0.1526050563
300	0.1523456971
301	0.1520704587
302	0.1518112649
303	0.1515479547
304	0.1512782301
305	0.1510195887
306	0.1507527989
307	0.1504920089
308	0.1502146502
309	0.1499618537
310	0.1497243046
311	0.1494727583
312	0.1492237941
313	0.1489564136
314	0.1487019503
315	0.1484626088
316	0.1482296263
317	0.1479853751
318	0.1477418724
319	0.1474957381
320	0.1472640628
321	0.1470247917
322	0.1467881134
323	0.146558382
324	0.1463138512
325	0.1460799252
326	0.1458595303
327	0.1456313387
328	0.1453948809
329	0.1451781418
330	0.144955415
331	0.1447183981
332	0.1445113065
333	0.1442500716
334	0.1440241851
335	0.1437666089
336	0.1435421928
337	0.1433320428
338	0.1431181126
339	0.1428986732
340	0.1426908601
341	0.1424942669
342	0.1422741186
343	0.1420491963
344	0.1418383686
345	0.1416084193
346	0.1413821015
347	0.141176355
348	0.1409688924
349	0.1407457761
350	0.1405426843
351	0.1403322802
352	0.1401310619
353	0.1399283209
354	0.1397394009
355	0.1395325085
356	0.1393439667
357	0.1391289868
358	0.1389342659
359	0.138733083
360	0.1385485894
361	0.1383261462
362	0.1381359113
363	0.1379398385
364	0.1377344256
365	0.1375357487
366	0.1373520866
367	0.1371613825
368	0.1369671882
369	0.1368010061
370	0.1365872866
371	0.1363955509
372	0.1361921278
373	0.1359977734
374	0.1358118977
375	0.1356005343
376	0.135419324
377	0.1352070487
378	0.1350282356
379	0.1348261682
380	0.1346601394
381	0.1344693867
382	0.1342783631
383	0.1340807721
384	0.1338974711
385	0.1337028006
386	0.1335228521
387	0.1333388211
388	0.1331569454
389	0.132973832
390	0.1327953301
391	0.1326235966
392	0.1324431849
393	0.1322743722
394	0.1320783638
395	0.1319152247
396	0.131748793
397	0.1315674623
398	0.1313843569
399	0.1312026386
400	0.1310327242
401	0.1308815182
402	0.1307353922
403	0.130555505
404	0.1303757976
405	0.13020441
406	0.1300432116
407	0.1298784743
408	0.1297130633
409	0.1295589154
410	0.1293905057
411	0.1292018501
412	0.1290259863
413	0.1288455584
414	0.1286884258
415	0.1285205618
416	0.1283823944
417	0.1282066141
418	0.1280475753
419	0.1279012374
420	0.1277660352
421	0.1276161708
422	0.1274577919
423	0.1272978871
424	0.1271353255
425	0.1269887203
426	0.126865774
427	0.1267037902
428	0.1265687211
429	0.1264136279
430	0.1262555182
431	0.126098856
432	0.1259433096
433	0.1257836842
434	0.1256185456
435	0.1254464887
436	0.1252981162
437	0.1251541365
438	0.1250084526
439	0.1248551529
440	0.1247021587
441	0.1245500641
442	0.1244266968
443	0.124270742
444	0.1241121571
445	0.1239504622
446	0.1237967111
447	0.1236695859
448	0.1235221864
449	0.123387782
450	0.1232533673
451	0.1231139811
452	0.1229745485
453	0.1228319672
454	0.1226896393
455	0.1225400415
456	0.1224063591
457	0.1222735316
458	0.1221379006
459	0.1219957398
460	0.1218324155
461	0.121691189
462	0.1215541788
463	0.1214080943
464	0.1212653553
465	0.1211243318
466	0.12099569
467	0.1208573334
468	0.1207124676
469	0.1205785511
470	0.1204545791
471	0.1203343406
472	0.1202122772
473	0.1200768285
474	0.1199342457
475	0.1197923944
476	0.1196563577
477	0.1195235521
478	0.1193899953
479	0.1192703206
480	0.1191389283
481	0.1190170914
482	0.1189006484
483	0.1187661482
484	0.1186368615
485	0.1185072531
486	0.1183852859
487	0.1182617564
488	0.1181318192
489	0.117987209
490	0.117870764
491	0.1177504394
492	0.1176285874
493	0.1175205092
494	0.1173938058
495	0.1172941503
496	0.1171534938
497	0.1170271946
498	0.1169010318
499	0.1167812035
500	0.1166819538
501	0.11655375
502	0.1164236399
503	0.1163155632
504	0.1161908986
505	0.1160671324
506	0.1159297159
507	0.1158047129
508	0.11568195
509	0.1155567116
510	0.1154530641
511	0.1153309646
512	0.1152142129
513	0.1150963131
514	0.1149638731
515	0.1148595721
516	0.1147544348
517	0.1146397192
518	0.1145328996
519	0.1144285553
520	0.1143082468
521	0.1142062694
522	0.1140925832
523	0.1139706201
524	0.1138602896
525	0.1137471328
526	0.1136307967
527	0.1135085036
528	0.1133987353
529	0.1132698896
530	0.1131503595
531	0.1130365713
532	0.1129225842
533	0.1128138696
534	0.1127134925
535	0.1125995882
536	0.112480237
537	0.1123815599
538	0.1122688483
539	0.1121586613
540	0.1120299012
541	0.1119238567
542	0.1118168885
543	0.111702039
544	0.111584298
545	0.1114840605
546	0.1113694796
547	0.1112546505
548	0.1111375269
549	0.1110244873
550	0.1109165406
551	0.1108173615
552	0.1107199277
553	0.1106085919
554	0.1104973401
555	0.1103942424
556	0.1102799731
557	0.1101640029
558	0.1100528761
559	0.1099462853
560	0.1098492829
561	0.1097471072
562	0.1096457331
563	0.1095430938
564	0.1094568579
565	0.1093438942
566	0.1092315153
567	0.1091193467
568	0.1090232292
569	0.1089236948
570	0.1088182841
571	0.108721885
572	0.1086159305
573	0.1085123109
574	0.1084219313
575	0.108315654
576	0.108233066
577	0.1081199389
578	0.1080312327
579	0.1079188578
580	0.1078260634
581	0.1077157513
582	0.1076244573
583	0.1075201789
584	0.107417576
585	0.1073193495
586	0.1072297091
587	0.1071321179
588	0.1070373215
589	0.1069467122
590	0.106851146
591	0.1067510135
592	0.1066583356
593	0.1065748417
594	0.1064757145
595	0.1063872546
596	0.1062841227
597	0.106172855
598	0.10607581
599	0.1059640002
600	0.1058686549
601	0.1057809469
602	0.105688861
603	0.1056073439
604	0.1055213833
605	0.1054504956
606	0.1053538939
607	0.1052644641
608	0.1051667149
609	0.1050786179
610	0.1049856343
611	0.1048781194
612	0.1047965453
613	0.1046994042
614	0.1046172077
615	0.1045328702
616	0.1044362011
617	0.1043801416
618	0.1042877479
619	0.1042002264
620	0.1041075052
621	0.1040146937
622	0.1039191343
623	0.1038375556
624	0.1037496321
625	0.1036577116
626	0.1035628294
627	0.1034761036
628	0.1034019193
629	0.1032971575
630	0.1032189855
631	0.1031312114
632	0.1030417881
633	0.1029395791
634	0.1028547595
635	0.1027625101
636	0.1026714282
637	0.1025843452
638	0.1024976018
639	0.1023987643
640	0.102311738
641	0.1022209903
642	0.1021291642
643	0.1020549354
644	0.1019643653
645	0.1018764296
646	0.1017883046
647	0.1017112706
648	0.101638223
649	0.1015643444
650	0.101486824
651	0.1014121423
652	0.1013371195
653	0.1012440107
654	0.1011572165
655	0.1010827021
656	0.1010103491
657	0.1009226478
658	0.1008381338
659	0.1007549593
660	0.1006877267
661	0.1006150147
662	0.1005300246
663	0.100434458
664	0.1003542251
665	0.1002689854
666	0.1001818049
667	0.1000906706
668	0.1000074735
669	0.09993441874
670	0.09985658844
671	0.09977263538
672	0.09970635189
673	0.09963137629
674	0.09955443751
675	0.09947301194
676	0.09939317576
677	0.09930906556
678	0.09923498077
679	0.09915661305
680	0.09907317351
681	0.09899161213
682	0.09890592372
683	0.09882275973
684	0.09874302233
685	0.09865000639
686	0.09856952749
687	0.09849913046
688	0.09841688386
689	0.09833417824
690	0.09825631034
691	0.09817354257
692	0.09810053575
693	0.09802805272
694	0.09794468594
695	0.09788287956
696	0.0977961613
697	0.09772080926
698	0.09763856903
699	0.09755960945
700	0.09749694745
701	0.09741850087
702	0.09734154648
703	0.09725949497
704	0.09718570493
705	0.09710942754
706	0.09703242815
707	0.09695088868
708	0.09688390038
709	0.09681931384
710	0.09674337509
711	0.09669036278
712	0.09661066847
713	0.09653397694
714	0.09645779728
715	0.09637571594
716	0.09629924933
717	0.09622341693
718	0.0961530911
719	0.09608168827
720	0.09600472373
721	0.09594338312
722	0.09586184614
723	0.09578908253
724	0.09572223404
725	0.09565371326
726	0.09558412901
727	0.09550918194
728	0.09543333416
729	0.09537318385
730	0.0953065409
731	0.09523648183
732	0.09516986029
733	0.09509316807
734	0.09502073111
735	0.0949505997
736	0.09487569095
737	0.09481286894
738	0.09475112045
739	0.09468878959
740	0.09462380741
741	0.09455639837
742	0.09447757309
743	0.09439900389
744	0.09431796302
745	0.09424908039
746	0.09417487902
747	0.09410279855
748	0.09404202596
749	0.09396937924
750	0.09389842321
751	0.09381517714
752	0.09374639164
753	0.09367760835
754	0.09360950216
755	0.09354982101
756	0.09347771334
757	0.09340975039
758	0.0933466233
759	0.09328152067
760	0.09321205897
761	0.09315550987
762	0.09309068882
763	0.09303382939
764	0.09295691473
765	0.09288852172
766	0.09281752321
767	0.09274366015
768	0.09268486568
769	0.0926123677
770	0.09253769735
771	0.09247690447
772	0.09240576389
773	0.09233370496
774	0.09226324037
775	0.09219084724
776	0.09211882056
777	0.09205429256
778	0.09199830013
779	0.09193382497
780	0.09186951044
781	0.09181091329
782	0.09174480142
783	0.09168432482
784	0.09161910964
785	0.09156218672
786	0.09149775876
787	0.09142455583
788	0.09136850846
789	0.09130648413
790	0.09123440442
791	0.09117037088
792	0.091108238
793	0.09103515408
794	0.0909773644
795	0.0909243782
796	0.09085850323
797	0.09078922358
798	0.09073252984
799	0.09066616794
800	0.09061541053
801	0.09055677778
802	0.09050037543
803	0.09044769872
804	0.09038129666
805	0.09032542978
806	0.09026426479
807	0.09020919023
808	0.09014862933
809	0.09009279772
810	0.09003829995
811	0.08997757357
812	0.08991523591
813	0.08984106913
814	0.08977726798
815	0.08971503306
816	0.08964746951
817	0.08957592023
818	0.08951195788
819	0.08944443269
820	0.0893840003
821	0.08933322758
822	0.08927033444
823	0.08921026444
824	0.08915335476
825	0.08910743018
826	0.08904502852
827	0.0889751013
828	0.08891627617
829	0.08885030937
830	0.0888078934
831	0.08875086569
832	0.08869603716
833	0.0886402969
834	0.08857069787
835	0.08852575259
836	0.08846154347
837	0.08840602183
838	0.08834306432
839	0.08829057078
840	0.08823719263
841	0.08818163665
842	0.08812783185
843	0.08806596271
844	0.08800812756
845	0.08795145911
846	0.08789437475
847	0.08782528856
848	0.08776659069
849	0.08771115853
850	0.08765856058
851	0.08759652825
852	0.08754365568
853	0.08748300167
854	0.0874377388
855	0.08738565426
856	0.08732972434
857	0.08728213419
858	0.08721587524
859	0.08715696711
860	0.08710089997
861	0.08703499858
862	0.08697891479
863	0.08692078459
864	0.08686176657
865	0.08680489517
866	0.08674360959
867	0.08668120481
868	0.08661794585
869	0.08656078663
870	0.08650420128
871	0.08645227231
872	0.08640247752
873	0.08634015475
874	0.08628473406
875	0.08622544816
876	0.08617444734
877	0.08611531607
878	0.08606812447
879	0.08602039599
880	0.08595627474
881	0.08590252165
882	0.0858394523
883	0.08577935334
884	0.08571559859
885	0.08565659073
886	0.08560111697
887	0.08555211009
888	0.08550713456
889	0.08544732372
890	0.08540817359
891	0.08535754585
892	0.08530786486
893	0.08525717165
894	0.08521145259
895	0.08516023248
896	0.08510604148
897	0.08504799591
898	0.08499720542
899	0.08493840141
900	0.08489084323
901	0.08483469571
902	0.08477801067
903	0.08472719056
904	0.08467195393
905	0.08461733382
906	0.08456038703
907	0.08450647842
908	0.08444927692
909	0.08439687116
910	0.08434798763
911	0.08430013265
912	0.08425315078
913	0.08419523404
914	0.08413893044
915	0.08409196089
916	0.08403715071
917	0.08398709895
918	0.08393847331
919	0.08388654919
920	0.08383218396
921	0.08377287551
922	0.08372924305
923	0.08368704885
924	0.08364215607
925	0.08358525595
926	0.08353176529
927	0.08347910811
928	0.08343225024
929	0.08337905929
930	0.08332230948
931	0.08326874319
932	0.08321260702
933	0.08315415792
934	0.08310079591
935	0.08304963358
936	0.08299535494
937	0.08293830977
938	0.08288743511
939	0.08283340356
940	0.08277860572
941	0.08273121022
942	0.08268218662
943	0.08263142804
944	0.08259521053
945	0.08255219979
946	0.08250142202
947	0.08246291445
948	0.08241941393
949	0.08236349565
950	0.08231817357
951	0.08226229144
952	0.08220487807
953	0.08214882147
954	0.08209327171
955	0.08203488124
956	0.08199302686
957	0.08194798042
958	0.08189385825
959	0.08184856171
960	0.08179606995
961	0.08175189889
962	0.08170807042
963	0.08166466056
964	0.0816213582
965	0.08157339902
966	0.08151986037
967	0.08146975866
968	0.08142676949
969	0.08137992293
970	0.08133223903
971	0.08127922603
972	0.08123305193
973	0.08118400054
974	0.0811414386
975	0.08109486814
976	0.08104146892
977	0.08100098159
978	0.08095355369
979	0.08090362822
980	0.08085877255
981	0.08082321781
982	0.08076846876
983	0.08071585494
984	0.08067096284
985	0.08062707454
986	0.0805794878
987	0.08052846674
988	0.08048264668
989	0.08044132706
990	0.08040251196
991	0.08035089528
992	0.08029131566
993	0.08024844907
994	0.08020690834
995	0.0801510971
996	0.08010255482
997	0.08005553348
998	0.08001506064
999	0.07997494741
